Country,City,University,Program,Level,Duration_Years,Tuition_USD,Living_Cost_Index,Rent_USD,Visa_Fee_USD,Insurance_USD,Exchange_Rate,Total Annual Cost (USD),Total Program Cost (USD)
UK,Cardiff,Cardiff University,Data Analytics,Master,1.0,34000,64.5,950,485,800,0.79,36235,36235.0
Switzerland,Fribourg,University of Fribourg,Computer Science,Master,2.0,1500,107.8,1300,140,1200,0.89,4140,8280.0
France,Grenoble,Grenoble INP,Data Science,Master,2.0,4100,71.5,1100,99,850,0.92,6149,12298.0
Ireland,Athlone,Athlone IT,Data Analytics,Master,2.0,13800,66.7,800,150,750,0.92,15500,31000.0
Norway,Oslo,University of Oslo,Computer Science,Master,2.0,0,83.2,1400,275,700,10.45,2375,4750.0
Finland,Helsinki,University of Helsinki,Data Science,Master,2.0,0,79.4,1200,350,650,0.92,2200,4400.0
Germany,Berlin,Technical University Berlin,Mechanical Engineering,Master,2.0,0,68.9,1100,110,900,0.92,2110,4220.0
Denmark,Copenhagen,University of Copenhagen,Physics,PhD,4.0,0,82.1,1500,450,800,7.45,2750,11000.0
Norway,Trondheim,NTNU,Robotics,Master,2.0,0,75.6,1100,275,700,10.45,2075,4150.0
Finland,Espoo,Aalto University,Computer Engineering,Bachelor,3.0,0,77.8,1000,350,650,0.92,2000,6000.0
Germany,Munich,LMU Munich,Mathematics,PhD,4.0,0,71.5,1300,110,900,0.92,2310,9240.0
Denmark,Aarhus,Aarhus University,Data Analytics,Master,2.0,0,76.5,1200,450,800,7.45,2450,4900.0
Norway,Bergen,University of Bergen,Artificial Intelligence,Master,2.0,0,74.3,1200,275,700,10.45,2175,4350.0
Finland,Tampere,Tampere University,Software Engineering,Master,2.0,0,72.1,900,350,650,0.92,1900,3800.0
Germany,Dresden,TU Dresden,Computer Science,Bachelor,3.0,0,65.4,900,110,900,0.92,1910,5730.0
Denmark,Odense,University of Southern Denmark,Biotechnology,Master,2.0,0,73.2,1100,450,800,7.45,2350,4700.0
Norway,Tromsø,UiT Arctic University,Marine Technology,PhD,4.0,0,71.2,1000,275,700,10.45,1975,7900.0
Finland,Turku,University of Turku,Bioinformatics,Master,2.0,0,71.8,850,350,650,0.92,1850,3700.0
Germany,Hamburg,TU Hamburg,Electrical Engineering,Master,2.0,0,69.8,1200,110,900,0.92,2210,4420.0
Denmark,Aalborg,Aalborg University,Energy Engineering,Bachelor,3.0,0,71.5,1000,450,800,7.45,2250,6750.0
Norway,Stavanger,University of Stavanger,Petroleum Engineering,Master,2.0,0,72.4,1100,275,700,10.45,2075,4150.0
Finland,Oulu,University of Oulu,Computer Science,PhD,4.0,0,70.2,800,350,650,0.92,1800,7200.0
Germany,Stuttgart,University of Stuttgart,Aerospace Engineering,Master,2.0,0,68.7,1100,110,900,0.92,2110,4220.0
Denmark,Roskilde,Roskilde University,Environmental Science,Master,2.0,0,70.8,1000,450,800,7.45,2250,4500.0
Norway,Ås,Norwegian University of Life Sciences,Biotechnology,Master,2.0,0,70.5,900,275,700,10.45,1875,3750.0
Finland,Vaasa,University of Vaasa,Industrial Management,Master,2.0,0,69.8,800,350,650,0.92,1800,3600.0
Germany,Karlsruhe,KIT,Mechatronics,PhD,4.0,0,67.9,1000,110,900,0.92,2010,8040.0
Denmark,Lyngby,Technical University of Denmark,Quantum Engineering,Master,2.0,0,81.2,1400,450,800,7.45,2650,5300.0
Norway,Bodø,Nord University,Marine Biology,Bachelor,3.0,0,69.4,850,275,700,10.45,1825,5475.0
Finland,Jyväskylä,University of Jyväskylä,Data Science,Master,2.0,0,68.7,750,350,650,0.92,1750,3500.0
Germany,Darmstadt,TU Darmstadt,Computer Engineering,Master,2.0,0,66.8,950,110,900,0.92,1960,3920.0
Denmark,Kolding,University of Southern Denmark,Software Engineering,PhD,4.0,0,69.5,900,450,800,7.45,2150,8600.0
Norway,Gjøvik,NTNU Gjøvik,Information Security,Master,2.0,0,68.9,800,275,700,10.45,1775,3550.0
Finland,Lappeenranta,LUT University,Industrial Engineering,Master,2.0,0,67.5,700,350,650,0.92,1700,3400.0
Germany,Bremen,University of Bremen,Robotics,Master,2.0,0,66.5,900,110,900,0.92,1910,3820.0
Denmark,Esbjerg,University of Southern Denmark,Environmental Engineering,Master,2.0,0,68.4,850,450,800,7.45,2100,4200.0
Norway,Kristiansand,University of Agder,Renewable Energy,PhD,4.0,0,67.8,850,275,700,10.45,1825,7300.0
Finland,Kuopio,University of Eastern Finland,Environmental Science,Bachelor,3.0,0,66.9,700,350,650,0.92,1700,5100.0
Germany,Aachen,RWTH Aachen,Materials Science,Master,2.0,0,68.9,1000,110,900,0.92,2010,4020.0
Denmark,Slagelse,University of Copenhagen,Bioinformatics,Master,2.0,0,67.5,900,450,800,7.45,2150,4300.0
Norway,Horten,University of South-Eastern Norway,Systems Engineering,Master,2.0,0,66.7,800,275,700,10.45,1775,3550.0
Finland,Joensuu,University of Eastern Finland,Forestry Sciences,PhD,4.0,0,65.8,650,350,650,0.92,1650,6600.0
Germany,Jena,University of Jena,Photonics,Master,2.0,0,65.4,850,110,900,0.92,1860,3720.0
Denmark,Herning,Aarhus University,Engineering Management,Master,2.0,0,66.2,800,450,800,7.45,2050,4100.0
New Zealand,Auckland,University of Auckland,Computer Science,Master,2.0,32000,79.5,1200,330,600,1.65,34130,68260.0
USA,Boston,Northeastern University,Data Science,Master,2.0,54000,82.1,2000,160,1500,1.0,57660,115320.0
Sweden,Stockholm,KTH Royal Institute,Engineering Physics,Master,2.0,0,78.4,1100,120,750,10.45,1970,3940.0
Netherlands,Amsterdam,University of Amsterdam,Artificial Intelligence,PhD,4.0,15000,81.2,1300,171,720,0.92,17191,68764.0
Portugal,Lisbon,University of Lisbon,Computer Engineering,Master,2.0,7000,65.8,800,75,400,0.92,8275,16550.0
New Zealand,Wellington,Victoria University,Data Analytics,Master,2.0,30000,75.6,1100,330,600,1.65,32030,64060.0
USA,Austin,UT Austin,Robotics,PhD,5.0,48000,68.9,1600,160,1500,1.0,51260,256300.0
Sweden,Uppsala,Uppsala University,Mathematics,Bachelor,3.0,0,72.3,900,120,750,10.45,1770,5310.0
Netherlands,Rotterdam,Erasmus University,Business Analytics,Master,2.0,14500,77.8,1200,171,720,0.92,16591,33182.0
Portugal,Porto,University of Porto,Software Engineering,Master,2.0,6500,62.4,700,75,400,0.92,7675,15350.0
New Zealand,Christchurch,University of Canterbury,Mechanical Engineering,PhD,4.0,31000,72.4,950,330,600,1.65,32880,131520.0
USA,San Diego,UC San Diego,Biotechnology,Master,2.0,49000,75.6,1900,160,1500,1.0,52560,105120.0
Sweden,Gothenburg,Chalmers University,Sustainable Energy,Master,2.0,0,71.2,950,120,750,10.45,1820,3640.0
Netherlands,Delft,TU Delft,Computer Science,Master,2.0,15500,76.5,1100,171,720,0.92,17491,34982.0
Portugal,Coimbra,University of Coimbra,Data Science,Bachelor,3.0,6000,58.9,600,75,400,0.92,7075,21225.0
New Zealand,Dunedin,University of Otago,Information Systems,Master,2.0,29000,70.2,900,330,600,1.65,30830,61660.0
USA,Seattle,University of Washington,Computer Engineering,Master,2.0,51000,77.8,2100,160,1500,1.0,54760,109520.0
Sweden,Lund,Lund University,Physics,PhD,4.0,0,73.4,1000,120,750,10.45,1870,7480.0
Netherlands,Eindhoven,TU Eindhoven,Artificial Intelligence,Master,2.0,14800,72.3,950,171,720,0.92,16641,33282.0
Portugal,Braga,University of Minho,Computer Science,Master,2.0,6200,57.8,550,75,400,0.92,7225,14450.0
New Zealand,Hamilton,University of Waikato,Environmental Science,Master,2.0,28500,68.9,850,330,600,1.65,30280,60560.0
USA,Atlanta,Georgia Tech,Machine Learning,PhD,5.0,48000,71.2,1700,160,1500,1.0,51360,256800.0
Sweden,Linköping,Linköping University,Computer Science,Master,2.0,0,69.8,850,120,750,10.45,1720,3440.0
Netherlands,Utrecht,Utrecht University,Data Science,Bachelor,3.0,13900,75.4,1100,171,720,0.92,15891,47673.0
Portugal,Aveiro,University of Aveiro,Robotics,PhD,4.0,6800,56.7,500,75,400,0.92,7775,31100.0
New Zealand,Palmerston North,Massey University,Computer Engineering,Bachelor,3.0,27500,67.5,800,330,600,1.65,29230,87690.0
USA,Pittsburgh,Carnegie Mellon,Software Engineering,Master,2.0,56000,65.4,1500,160,1500,1.0,59160,118320.0
Sweden,Umeå,Umeå University,Artificial Intelligence,Master,2.0,0,68.5,800,120,750,10.45,1670,3340.0
Netherlands,Groningen,University of Groningen,Computing Science,PhD,4.0,14200,71.2,900,171,720,0.92,15991,63964.0
Portugal,Faro,University of Algarve,Information Systems,Master,2.0,5900,55.4,480,75,400,0.92,6855,13710.0
New Zealand,Auckland,AUT University,Data Analytics,Master,2.0,29500,79.5,1150,330,600,1.65,31580,63160.0
USA,Raleigh,NC State University,Computer Science,Master,2.0,47000,67.8,1400,160,1500,1.0,50060,100120.0
Sweden,Karlstad,Karlstad University,Information Systems,Bachelor,3.0,0,67.2,750,120,750,10.45,1620,4860.0
Netherlands,Tilburg,Tilburg University,Data Science,Master,2.0,14000,70.5,950,171,720,0.92,15841,31682.0
Portugal,Vila Real,UTAD,Computer Engineering,Master,2.0,5700,54.3,450,75,400,0.92,6625,13250.0
New Zealand,Christchurch,Lincoln University,Environmental Computing,PhD,4.0,28000,72.4,900,330,600,1.65,29830,119320.0
USA,Davis,UC Davis,Data Science,Master,2.0,48000,73.2,1600,160,1500,1.0,51260,102520.0
Sweden,Växjö,Linnaeus University,Software Engineering,Master,2.0,0,66.5,700,120,750,10.45,1570,3140.0
Netherlands,Wageningen,Wageningen University,Bioinformatics,Master,2.0,14500,69.8,900,171,720,0.92,16291,32582.0
Portugal,Funchal,University of Madeira,Computing,Bachelor,3.0,5500,53.2,400,75,400,0.92,6375,19125.0
Spain,Madrid,Universidad Politécnica de Madrid,Computer Science,Master,2.0,3500,71.4,1100,80,750,0.92,5430,10860.0
Italy,Milan,Politecnico di Milano,Data Engineering,Master,2.0,4000,73.2,1200,120,700,0.92,6020,12040.0
Greece,Athens,National Technical University,Electrical Engineering,PhD,4.0,0,65.8,650,100,600,0.92,1350,5400.0
Austria,Vienna,TU Wien,Software Engineering,Master,2.0,1500,78.5,950,160,850,0.92,3460,6920.0
Mexico,Mexico City,UNAM,Computer Engineering,Bachelor,4.0,800,52.4,600,40,400,17.05,1840,7360.0
Spain,Barcelona,Universitat Politècnica Catalunya,Artificial Intelligence,Master,2.0,3800,73.6,1000,80,750,0.92,5630,11260.0
Italy,Rome,Sapienza University,Robotics,PhD,4.0,3500,71.2,1100,120,700,0.92,5420,21680.0
Greece,Thessaloniki,Aristotle University,Computer Engineering,Master,2.0,0,62.4,500,100,600,0.92,1200,2400.0
Austria,Graz,TU Graz,Mechanical Engineering,Bachelor,3.0,1500,71.2,750,160,850,0.92,3260,9780.0
Mexico,Monterrey,Tecnológico de Monterrey,Data Science,Master,2.0,12000,48.9,700,40,400,17.05,13140,26280.0
Spain,Valencia,Universitat de València,Data Science,Master,2.0,3200,68.5,800,80,750,0.92,4830,9660.0
Italy,Turin,Politecnico di Torino,Computer Engineering,Master,2.0,3800,69.8,900,120,700,0.92,5520,11040.0
Greece,Patras,University of Patras,Electronics,PhD,4.0,0,60.5,450,100,600,0.92,1150,4600.0
Austria,Linz,Johannes Kepler University,Artificial Intelligence,Master,2.0,1500,70.4,700,160,850,0.92,3210,6420.0
Mexico,Guadalajara,Universidad de Guadalajara,Software Engineering,Bachelor,4.0,900,45.6,500,40,400,17.05,1840,7360.0
Spain,Seville,Universidad de Sevilla,Robotics,Master,2.0,3000,65.4,750,80,750,0.92,4580,9160.0
Italy,Bologna,University of Bologna,Information Technology,PhD,4.0,3600,70.5,950,120,700,0.92,5370,21480.0
Greece,Heraklion,University of Crete,Computer Science,Master,2.0,0,61.2,480,100,600,0.92,1180,2360.0
Austria,Salzburg,University of Salzburg,Data Analytics,Bachelor,3.0,1500,72.3,800,160,850,0.92,3310,9930.0
Mexico,Puebla,UDLAP,Computer Engineering,Master,2.0,10000,44.5,450,40,400,17.05,10890,21780.0
Spain,Bilbao,University of the Basque Country,Computer Science,PhD,4.0,3400,67.8,850,80,750,0.92,5080,20320.0
Italy,Florence,University of Florence,Cybersecurity,Master,2.0,3500,71.2,1000,120,700,0.92,5320,10640.0
Greece,Volos,University of Thessaly,Digital Systems,Master,2.0,0,59.8,400,100,600,0.92,1100,2200.0
Austria,Innsbruck,University of Innsbruck,Mechatronics,Master,2.0,1500,71.5,780,160,850,0.92,3290,6580.0
Mexico,Queretaro,Tecnologico de Monterrey,Data Analytics,Bachelor,4.0,11000,46.7,480,40,400,17.05,11920,47680.0
Spain,Granada,University of Granada,Artificial Intelligence,Master,2.0,2800,64.5,700,80,750,0.92,4330,8660.0
Italy,Naples,University of Naples,Software Engineering,PhD,4.0,3200,67.8,800,120,700,0.92,4820,19280.0
Greece,Ioannina,University of Ioannina,Information Systems,Bachelor,4.0,0,58.9,380,100,600,0.92,1080,4320.0
Austria,Klagenfurt,University of Klagenfurt,Data Science,Master,2.0,1500,69.4,720,160,850,0.92,3230,6460.0
Mexico,Merida,Universidad Autonoma de Yucatan,Computer Engineering,Master,2.0,3500,43.2,400,40,400,17.05,4340,8680.0
Spain,Zaragoza,University of Zaragoza,Robotics,Master,2.0,2900,63.2,650,80,750,0.92,4380,8760.0
Italy,Pisa,University of Pisa,Computer Engineering,Master,2.0,3300,68.9,850,120,700,0.92,4970,9940.0
Greece,Rhodes,University of the Aegean,Digital Innovation,Master,2.0,0,61.2,420,100,600,0.92,1120,2240.0
Austria,Leoben,Montanuniversität Leoben,Industrial Engineering,PhD,4.0,1500,68.7,700,160,850,0.92,3210,12840.0
Mexico,Tijuana,CETYS Universidad,Information Technology,Bachelor,4.0,9500,45.4,550,40,400,17.05,10490,41960.0
Spain,Salamanca,University of Salamanca,Data Science,PhD,4.0,3100,62.1,600,80,750,0.92,4530,18120.0
Italy,Padua,University of Padua,Artificial Intelligence,Master,2.0,3400,69.5,900,120,700,0.92,5120,10240.0
Greece,Chania,Technical University of Crete,Electronic Engineering,Master,2.0,0,60.4,450,100,600,0.92,1150,2300.0
Austria,Dornbirn,FH Vorarlberg,Software Development,Bachelor,3.0,1500,70.2,800,160,850,0.92,3310,9930.0
Mexico,San Luis Potosi,UASLP,Computer Systems,Master,2.0,2800,42.8,380,40,400,17.05,3620,7240.0
Turkey,Istanbul,Bogazici University,Computer Engineering,Master,2.0,1500,51.2,600,90,500,28.5,2690,5380.0
Greece,Athens,Athens University of Economics,Data Science,Master,2.0,0,65.8,650,100,600,0.92,1350,2700.0
Belgium,Leuven,KU Leuven,Artificial Intelligence,PhD,4.0,3800,76.5,950,180,800,0.92,5730,22920.0
Hungary,Budapest,Budapest University of Technology,Software Engineering,Master,2.0,6500,53.4,500,140,450,350.25,7590,15180.0
Russia,Moscow,Moscow State University,Computer Science,Bachelor,4.0,5500,62.3,600,160,400,95.5,6660,26640.0
Turkey,Ankara,Middle East Technical University,Data Engineering,Master,2.0,1200,48.5,450,90,500,28.5,2240,4480.0
Greece,Thessaloniki,University of Macedonia,Information Systems,PhD,4.0,0,62.4,500,100,600,0.92,1200,4800.0
Belgium,Ghent,Ghent University,Computer Science,Master,2.0,3500,72.8,850,180,800,0.92,5330,10660.0
Hungary,Debrecen,University of Debrecen,Mechatronics,Bachelor,3.0,5800,48.9,400,140,450,350.25,6790,20370.0
Russia,Saint Petersburg,ITMO University,Data Science,Master,2.0,5000,60.1,550,160,400,95.5,6110,12220.0
Turkey,Izmir,Ege University,Electronics Engineering,PhD,4.0,1300,47.8,400,90,500,28.5,2290,9160.0
Greece,Patras,University of Patras,Computer Engineering,Master,2.0,0,60.5,450,100,600,0.92,1150,2300.0
Belgium,Brussels,Vrije Universiteit Brussel,Robotics,Master,2.0,3600,75.4,900,180,800,0.92,5480,10960.0
Hungary,Szeged,University of Szeged,Computer Science,PhD,4.0,6000,47.2,380,140,450,350.25,6970,27880.0
Russia,Novosibirsk,Novosibirsk State University,Mathematics,Master,2.0,4800,55.4,400,160,400,95.5,5760,11520.0
Turkey,Eskisehir,Anadolu University,Information Systems,Bachelor,4.0,1000,45.6,350,90,500,28.5,1940,7760.0
Greece,Heraklion,University of Crete,Data Analytics,Master,2.0,0,61.2,480,100,600,0.92,1180,2360.0
Belgium,Antwerp,University of Antwerp,Computer Science,PhD,4.0,3700,71.2,800,180,800,0.92,5480,21920.0
Hungary,Pecs,University of Pecs,Software Development,Master,2.0,5500,46.8,350,140,450,350.25,6440,12880.0
Russia,Kazan,Kazan Federal University,Artificial Intelligence,Bachelor,4.0,4500,52.3,380,160,400,95.5,5440,21760.0
Turkey,Bursa,Uludag University,Computer Science,Master,2.0,1100,46.5,380,90,500,28.5,2070,4140.0
Greece,Volos,University of Thessaly,Cybersecurity,PhD,4.0,0,59.8,400,100,600,0.92,1100,4400.0
Belgium,Louvain,UCLouvain,Data Engineering,Master,2.0,3500,70.5,780,180,800,0.92,5260,10520.0
Hungary,Gyor,Szechenyi Istvan University,Robotics,Bachelor,3.0,5200,45.6,320,140,450,350.25,6110,18330.0
Russia,Tomsk,Tomsk State University,Software Engineering,Master,2.0,4600,51.2,350,160,400,95.5,5510,11020.0
Turkey,Antalya,Akdeniz University,Data Science,PhD,4.0,1400,47.8,420,90,500,28.5,2410,9640.0
Greece,Piraeus,University of Piraeus,Information Technology,Master,2.0,0,63.4,550,100,600,0.92,1250,2500.0
Belgium,Hasselt,Hasselt University,Artificial Intelligence,Bachelor,3.0,3400,69.8,750,180,800,0.92,5130,15390.0
Hungary,Miskolc,University of Miskolc,Computer Engineering,Master,2.0,5300,44.5,300,140,450,350.25,6190,12380.0
Russia,Yekaterinburg,Ural Federal University,Data Analytics,PhD,4.0,4700,53.4,400,160,400,95.5,5660,22640.0
Turkey,Kayseri,Erciyes University,Software Engineering,Master,2.0,1200,45.2,350,90,500,28.5,2140,4280.0
Greece,Xanthi,Democritus University,Computer Engineering,Bachelor,4.0,0,58.7,380,100,600,0.92,1080,4320.0
Belgium,Liege,University of Liege,Data Science,PhD,4.0,3600,68.9,720,180,800,0.92,5300,21200.0
Hungary,Veszprem,University of Pannonia,Information Systems,Master,2.0,5100,44.8,310,140,450,350.25,6000,12000.0
Russia,Samara,Samara State University,Computer Science,Master,2.0,4400,50.5,370,160,400,95.5,5330,10660.0
Turkey,Konya,Selcuk University,Artificial Intelligence,Bachelor,4.0,1000,44.5,330,90,500,28.5,1920,7680.0
Greece,Chios,University of the Aegean,Digital Systems,Master,2.0,0,59.2,400,100,600,0.92,1100,2200.0
Belgium,Mons,University of Mons,Computer Engineering,Master,2.0,3500,67.8,700,180,800,0.92,5180,10360.0
Hungary,Kecskemet,John von Neumann University,Data Analytics,PhD,4.0,5400,43.9,290,140,450,350.25,6280,25120.0
Russia,Rostov-on-Don,Southern Federal University,Information Technology,Bachelor,4.0,4200,49.8,350,160,400,95.5,5110,20440.0
Brazil,Sao Paulo,University of Sao Paulo,Computer Science,Master,2.0,0,55.8,600,90,400,4.95,1090,2180.0
India,Bangalore,Indian Institute of Science,Data Science,PhD,4.0,2000,45.2,300,180,300,82.75,2780,11120.0
Thailand,Bangkok,Chulalongkorn University,Software Engineering,Master,2.0,15000,51.4,500,80,350,35.25,15930,31860.0
Egypt,Cairo,Cairo University,Computer Engineering,Bachelor,4.0,2500,31.8,250,100,200,30.9,3050,12200.0
Singapore,Singapore,National University of Singapore,Artificial Intelligence,Master,2.0,42000,83.8,1200,90,800,1.35,44090,88180.0
UAE,Dubai,University of Dubai,Data Analytics,Master,2.0,25000,72.4,1100,270,750,3.67,27120,54240.0
Brazil,Rio de Janeiro,PUC-Rio,Information Systems,PhD,4.0,8000,53.2,550,90,400,4.95,9040,36160.0
India,Mumbai,IIT Bombay,Computer Engineering,Master,2.0,1800,47.5,350,180,300,82.75,2630,5260.0
Thailand,Chiang Mai,Chiang Mai University,Data Science,Bachelor,4.0,12000,45.6,300,80,350,35.25,12730,50920.0
Singapore,Singapore,Nanyang Technological University,Computer Science,PhD,4.0,40000,83.8,1100,90,800,1.35,41990,167960.0
UAE,Abu Dhabi,Khalifa University,Robotics,Master,2.0,27000,71.8,1000,270,750,3.67,29020,58040.0
Brazil,Campinas,UNICAMP,Computer Engineering,Master,2.0,0,51.4,450,90,400,4.95,940,1880.0
India,Delhi,IIT Delhi,Artificial Intelligence,PhD,4.0,1900,44.8,320,180,300,82.75,2700,10800.0
Thailand,Khon Kaen,Khon Kaen University,Information Technology,Master,2.0,11000,42.5,250,80,350,35.25,11680,23360.0
Egypt,Alexandria,Alexandria University,Software Engineering,Master,2.0,2200,30.5,200,100,200,30.9,2700,5400.0
Singapore,Singapore,Singapore Management University,Data Analytics,Bachelor,4.0,38000,83.8,1150,90,800,1.35,40040,160160.0
UAE,Sharjah,American University of Sharjah,Computer Science,PhD,4.0,26000,68.5,900,270,750,3.67,27920,111680.0
Brazil,Porto Alegre,UFRGS,Data Science,Bachelor,4.0,0,49.8,400,90,400,4.95,890,3560.0
India,Chennai,IIT Madras,Software Engineering,Master,2.0,1700,42.4,280,180,300,82.75,2460,4920.0
Thailand,Phuket,Prince of Songkla University,Computer Engineering,Master,2.0,10000,44.8,300,80,350,35.25,10730,21460.0
Egypt,Giza,Ain Shams University,Data Science,PhD,4.0,2400,31.2,220,100,200,30.9,2920,11680.0
Singapore,Singapore,Singapore University of Technology,Artificial Intelligence,Master,2.0,39000,83.8,1100,90,800,1.35,40990,81980.0
UAE,Ajman,Ajman University,Information Systems,Bachelor,4.0,23000,65.4,800,270,750,3.67,24820,99280.0
Brazil,Recife,UFPE,Computer Engineering,Master,2.0,0,47.5,350,90,400,4.95,840,1680.0
India,Hyderabad,IIT Hyderabad,Data Analytics,PhD,4.0,1800,41.2,260,180,300,82.75,2540,10160.0
Thailand,Hat Yai,Prince of Songkla University,Software Engineering,Bachelor,4.0,9500,43.2,280,80,350,35.25,10210,40840.0
Egypt,Port Said,Port Said University,Computer Science,Master,2.0,2100,29.8,180,100,200,30.9,2580,5160.0
Singapore,Singapore,SUTD,Robotics,PhD,4.0,37000,83.8,1050,90,800,1.35,38940,155760.0
UAE,Al Ain,UAE University,Data Science,Master,2.0,24000,64.2,750,270,750,3.67,25770,51540.0
Brazil,Florianopolis,UFSC,Information Technology,PhD,4.0,0,48.9,400,90,400,4.95,890,3560.0
India,Pune,IIT Pune,Computer Science,Master,2.0,1600,40.5,250,180,300,82.75,2330,4660.0
Thailand,Nakhon Ratchasima,Suranaree University,Data Engineering,Master,2.0,9000,41.8,250,80,350,35.25,9680,19360.0
Egypt,Mansoura,Mansoura University,Information Systems,Bachelor,4.0,2000,28.5,170,100,200,30.9,2470,9880.0
Singapore,Singapore,SIM Global Education,Software Engineering,Bachelor,4.0,35000,83.8,1000,90,800,1.35,36890,147560.0
UAE,Ras Al Khaimah,RAK University,Computer Engineering,Master,2.0,22000,62.5,700,270,750,3.67,23720,47440.0
Brazil,Salvador,UFBA,Data Science,Master,2.0,0,46.8,380,90,400,4.95,870,1740.0
India,Kanpur,IIT Kanpur,Artificial Intelligence,PhD,4.0,1900,39.8,240,180,300,82.75,2620,10480.0
Thailand,Songkhla,Thaksin University,Computer Engineering,Bachelor,4.0,8500,42.5,270,80,350,35.25,9200,36800.0
Egypt,Aswan,Aswan University,Data Analytics,Master,2.0,1900,27.8,160,100,200,30.9,2360,4720.0
UAE,Fujairah,Fujairah University,Information Technology,Bachelor,4.0,21000,61.4,650,270,750,3.67,22670,90680.0
Iceland,Reykjavik,University of Iceland,Computer Science,Master,2.0,0,84.5,1200,140,900,137.5,2240,4480.0
Colombia,Bogota,Universidad Nacional,Software Engineering,Master,2.0,3500,41.2,400,80,300,3950.0,4280,8560.0
Poland,Warsaw,University of Warsaw,Data Science,PhD,4.0,3000,54.8,650,80,400,4.1,4130,16520.0
Romania,Bucharest,University Politehnica,Computer Engineering,Bachelor,3.0,2500,45.2,450,120,350,4.65,3420,10260.0
Luxembourg,Luxembourg City,University of Luxembourg,Artificial Intelligence,Master,2.0,400,83.2,1400,100,800,0.92,2700,5400.0
Indonesia,Jakarta,University of Indonesia,Information Systems,Master,2.0,5000,45.8,400,150,250,15600.0,5800,11600.0
Iceland,Akureyri,University of Akureyri,Data Analytics,Bachelor,3.0,0,78.4,900,140,900,137.5,1940,5820.0
Colombia,Medellin,Universidad de Antioquia,Computer Science,PhD,4.0,4000,38.5,350,80,300,3950.0,4730,18920.0
Poland,Krakow,Jagiellonian University,Software Development,Master,2.0,2800,52.4,600,80,400,4.1,3880,7760.0
Romania,Cluj-Napoca,Babes-Bolyai University,Data Science,Master,2.0,2200,43.8,400,120,350,4.65,3070,6140.0
Luxembourg,Esch-sur-Alzette,Luxembourg School of Business,Data Engineering,Master,2.0,400,79.5,1200,100,800,0.92,2500,5000.0
Indonesia,Bandung,Institut Teknologi Bandung,Computer Engineering,PhD,4.0,4500,42.4,300,150,250,15600.0,5200,20800.0
Iceland,Reykjavik,Reykjavik University,Robotics,Master,2.0,0,84.5,1150,140,900,137.5,2190,4380.0
Colombia,Cali,Universidad del Valle,Information Technology,Bachelor,4.0,3200,36.8,300,80,300,3950.0,3880,15520.0
Poland,Wroclaw,Wroclaw University of Technology,Artificial Intelligence,Master,2.0,2600,50.5,550,80,400,4.1,3630,7260.0
Romania,Timisoara,Politehnica University,Software Engineering,PhD,4.0,2400,42.5,380,120,350,4.65,3250,13000.0
Luxembourg,Belval,Luxembourg Institute of Science,Computer Science,Bachelor,3.0,400,78.4,1100,100,800,0.92,2400,7200.0
Indonesia,Yogyakarta,Gadjah Mada University,Data Science,Master,2.0,4000,40.2,250,150,250,15600.0,4650,9300.0
Iceland,Hafnarfjordur,Iceland University of Arts,Digital Design,Master,2.0,0,82.1,1000,140,900,137.5,2040,4080.0
Colombia,Barranquilla,Universidad del Norte,Computer Engineering,Master,2.0,3800,35.4,280,80,300,3950.0,4460,8920.0
Poland,Poznan,Adam Mickiewicz University,Computer Science,PhD,4.0,2700,51.2,580,80,400,4.1,3760,15040.0
Romania,Iasi,Alexandru Ioan Cuza University,Information Systems,Master,2.0,2100,41.8,350,120,350,4.65,2920,5840.0
Luxembourg,Kirchberg,Sacred Heart University,Data Analytics,Master,2.0,400,81.5,1300,100,800,0.92,2600,5200.0
Indonesia,Surabaya,Institut Teknologi Sepuluh,Software Engineering,Bachelor,4.0,3800,41.5,280,150,250,15600.0,4480,17920.0
Iceland,Kopavogur,Bifrost University,Digital Business,Bachelor,3.0,0,81.2,950,140,900,137.5,1990,5970.0
Colombia,Bucaramanga,UIS,Data Science,PhD,4.0,3500,34.8,260,80,300,3950.0,4140,16560.0
Poland,Gdansk,Gdansk University of Technology,Cybersecurity,Master,2.0,2500,49.8,520,80,400,4.1,3500,7000.0
Romania,Brasov,Transilvania University,Computer Engineering,Bachelor,4.0,2000,40.5,330,120,350,4.65,2800,11200.0
Luxembourg,Differdange,Miami University Dolibois,Information Technology,Master,2.0,400,77.8,1150,100,800,0.92,2450,4900.0
Indonesia,Malang,Brawijaya University,Artificial Intelligence,Master,2.0,3500,39.8,240,150,250,15600.0,4140,8280.0
Poland,Lodz,Lodz University of Technology,Software Engineering,Master,2.0,2400,48.5,500,80,400,4.1,3380,6760.0
Romania,Constanta,Ovidius University,Data Analytics,Master,2.0,1900,39.8,320,120,350,4.65,2690,5380.0
Luxembourg,Walferdange,European Business University,Digital Innovation,Bachelor,3.0,400,76.5,1100,100,800,0.92,2400,7200.0
Indonesia,Semarang,Diponegoro University,Computer Science,PhD,4.0,3200,38.5,220,150,250,15600.0,3820,15280.0
Iceland,Borgarnes,Agricultural University,Data Systems,Master,2.0,0,79.8,900,140,900,137.5,1940,3880.0
